Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,GIF,Notes
d/b+1,sm (TC),5,10,-5,=+6,=+6,-,
d/b+1+2,m,23,26,-22,JG,JG,-,
d/b+2,m,20,16,-8,KND,KND,-,Tail spin
d/b+3,l,10,18,-12,-4,=+4,-,
d/b+3+4,(VTS),,18,,,,-,
"d/b+3, 1","l, h","10, 16",18,-6,=+8,KND,-,
"d/b+3, 1, 1","l, h, m","10, 16, 23",18,-8,KND,KND,-,Tail spin
"d/b+3, 1, 1, 3+4","l, h (special)","10, 16",18,-20,-6,KND,-,
"d/b+3, 1, 1, 3+4","l, h (cancel)","10, 16",18,-21,-7,KND,-,
"d/b+3, 4","l, m","10, 16",18,-13,=+3,=+3,-,
"d/b+3, 4, 1+2","l, m (throw)","10, 12 (10)",18,mid throw,mid throw,mid throw,-,
d/b+4,l (throw),"12(,10)",23,-26,throw,throw,-,
d/f+1,m,15,15,-12,JG,JG,-,
d/f+1+2,m (TC),23,17,-11,=+3s,=+3s,-,
d/f+2,m,16,15,-7,=+6,=+6,-,
"d/f+2, 1","m, m","16, 21",15,-13,KND,KND,-,
d/f+3,m,13,17,-10,=+2,=+2,-,
d/f+3+4,(VTS),,17,,,,-,
"d/f+3, 1","m, h","13, 7",17,=+2,=+5,=+5,-,
"d/f+3, 1+2","m, h","13, 28",17,0s,=+4s,=+4s,-,
"d/f+3, 1, 2","m, h, h","13, 7, 10",17,-1,=+5,=+5,-,
"d/f+3, 1, 2, 3","m, h, h, m","13, 7, 10, 12",17,-16,-5,-5,-,
"d/f+3, 1, 2, 3+4","m, h, h (special)","13, 7, 10",17,-3,=+3,=+3,-,
"d/f+3, 1, 2, 3+4, 3+4","m, h, h (special)","13, 7, 10",17,-2,=+4,=+4,-,
"d/f+3, 1, 2, 3, 1+2","m, h, h, m, h","13, 7, 10, 12",17,0,=+4s,=+4s,-,
"d/f+3, 1, 2, f+1","m, h, h, h,","13, 7, 10, 12, 28",17,=+4,=+6,KND,-,
"d/f+3, 1, d+2","m, h, m","13, 7, 13",17,-9,=+7,=+7,-,
"d/f+3, d/f+1","m, m","13, 10",17,-12,JG,JG,-,
"d/f+3, d/f+1, 2","m, m, h","13, 10, 21",17,-3s,KND,KND,-,
d/f+4,m,13,13,-9,=+2,=+2,-,
"d/f+4, 2","m, h","13, 25",13,-5,=+12k,KND,-,Tail spin
f+1+2,h,21,15,-10,KND,KND,-,
f+1+4,m,25,21,-18,=+9g,=+9g,-,
f+2,h,20,16,-7,=+7,KND,-,
"f+2, 1","h, h","20, 25",16,-7,KND,KND,-,Tail spin
"f+2, d+1","h, m","20, 17",16,-13s,=+2s,=+2s,-,
"f+2, d+1, 2","h, m, m","20, 17, 16",16,-15,JG,JG,-,
f+3,m,17,23,-8,=+5,JG,-,
f+3+4,h!,30,32,KND,KND,KND,-,
"f+3+4, 3+4",(special),,32,,,,-,
"f+3, 2","m, m","17, 20",32,-9,=+6s,JG,-,
f+4,m,20,19,8s,=+2s,KND,-,
"f, F+2",h,21,11,-1,KND,KND,-,
"f, F+3",m,18,19,-7,=+1,=+1,-,
"f, F+3, 2","m, m","18, 26",19,-14,JG,JG,-,
"f, F+4",m,26,18,-10,KND,KND,-,"Tail spin, Homing"
"f, f, f+3",m,30,32,=+6,KND,KND,-,
FC+1,sm (TC),5,10,-5,=+6,=+6,-,
FC+1+2,m (throw),"25(,15)",22,-4,throw,throw,-,
FC+2,sm (TC),8,11,-4,=+7,=+7,-,
FC+3,l,12,16,-17,-3,-3,-,
FC+4,l,10,12,-15,-4,-4,-,
FC+d/f+2,h,28,20,-3,KND,KND,-,
FC+d/f+4,l,19,21,-26,=+8,KND,-,
In rage b+1+2,m (throw),55,20,-22,throw,throw,-,Rage art
In rage f+2+3,m (throw),"35(,12)",21,=+7g,throw,throw,-,Rage drive
In rage f+2+3 (far),sm,10,45,-10,=+9s,=+9s,-,Rage drive
qcf+1,m,21,18,-10,JG,JG,-,
"qcf+1, 2","m, m","21, 24",18,-7,KND,KND,-,
"qcf+1, 2*","m, m","21, 40",18,=+23g,KND,KND,-,
qcf+2,l (throw),"20(,35)",24,-12,=+5,throw,-,
SS+1+2,m,25,29,=+1,KND,KND,-,
SS+2,m,18,21,-3,0s,0s,-,
"SS+2, 3+4",m,18,21,=+2,=+5s,=+5s,-,
"SS+2, 3+4, 3+4",m,18,21,=+1,=+4s,=+4s,-,
SS+4,m,24,21,-6,KND,KND,-,
u or u/f+4,m (TJ),18,23,-9,KND,KND,-,
u/b or u or u/f+1,m (TJ),12,18,-12,-1,-1,-,
u/b or u or u/f+2,h,17,15,-12,=+9,=+9,-,
u/b or u or u/f+3,m (TJ),25,20,-2,KND,JG,-,
u/b or u or u/f+3+4,m (TJ),25,31,-3s,=+7s,KND,-,
u/b+1+2,m,21,22,-6s,KND,KND,-,
"u/b+1+2, 3+4",m (special),21,22,-7s,KND,KND,-,
"u/b+1+2, 3+4, 3+4",m (special),21,22,-6s,KND,KND,-,
u/b+4,m (TJ),14,23,-16,KND,KND,-,
u/f+1+2,h,21,17,-6,KND,KND,-,
"u/f, N, 4",m (TJ),25,23,-11,JG,JG,-,
VTS 3+4,(cancel),,1,,,,-,
VTS d+1+2,"l, m","20, 20",17,-39,KND,KND,-,
VTS d+1+2,"l, m (second hit only)",20,17,-14,KND,KND,-,
VTS f+1,m,16,13,-4,=+3,=+3,-,
"VTS f+1, 2","m, m","16, 20",13,-13s,=+2s,KND,-,
"VTS f+1, 4","m, h","16, 26",13,-10,KND,KND,-,Tail spin
VTS f+2,m,22,17,-14,KND,KND,-,"Wall boune, Power crush"
VTS u or d,(special),,17,,,,-,
WS+1,m,14,11,-7,=+3,=+3,-,
WS+1+2,m,12,10,-4,=+7,=+7,-,
"WS+1, 2","m, h","14, 18",10,-7,KND,KND,-,
"WS+1, 3+4",m (special),14,10,-7,=+3,=+3,-,
"WS+1, 3+4, 3+4",m (special),14,10,-8,=+2,=+2,-,
WS+2,m,22,19,-8,KND,KND,-,Tail spin
WS+3,m,20,18,-13,KND,KND,-,
WS+4,m,21,13,-9,KND,KND,-,
