Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,Tracking,Notes
"d+3, 3","l, m","7,10",15,-16,-1,-1,-,
d+4,l (TC),13,16,-12~-11,-1~0,-1~0,-,
d+4,l (TC),13,16,-12~-11,-1~0,-1~0,-,
d/b+1,Sm (TC),5,10,-5,=+6,=+6,-,
d/b+1+2,m((Special)),0,25,-25~+5,-10~+30,-10~+30,-,
d/b+2,m,12,16,-10,-4,FS(+3) 16,-,
d/b+2,m,12,16,-10,-4,FS(+3) 16,-,
"d/b+2, 2","m, h","12,11",16,-12,-7 (CS),-7,-,
"d/b+2, 2, 3","m, h, m","12,11,21",16,-9~-8,CS,CS,-,
"d/b+2, 3","m, m","12,23",16,-8~-6,KND,KND,-,
d/b+3,h (TC),28,19,-13~-11,KND,KND,-,Tail spin
d/b+3,h (TC),28,19,-13~-11,KND,KND,-,Tail spin
d/b+4,l,18,20,-13~-12,=+3~+4,KND,-,
d/b+4,l,18,20,-13~-12,=+3~+4,KND,-,
d/f+1,m,10,13,-3~-2,=+4~+5,=+6~+7,-,
d/f+1,m,10,13,-3~-2,=+4~+5,=+6~+7,-,
d/f+1+2,m(Absorbs 1 h/m hit),20,23,-12~-11,=+6~+7 (KND),=+6~+7 (KND),-,
"d/f+1, 4","m, h","10,18",13,-9~-6,=+10~+13kg,KND,-,Tail spin
"d/f+1, 4~4","m, m","10,24",13,-12,CS,CS,-,
d/f+2,m,15,15,-7~-6,=+4~+5a,Launch (JG?),-,
d/f+2,m,15,15,-7~-6,=+4~+5a,Launch (JG?),-,
d/f+3,m,12,14,-16,-5,-5,-,
d/f+3,m,12,14,-16,-5,-5,-,
"d/f+3, 3","m, h","12,14",14,-8,=+8,=+8,-,
"d/f+3, 3, b","m, h, (Special)","12,14",14,-8,=+8,=+8,-,
"d/f+3, 3, f","m, h, (CDS)","12,14",14,-7,=+9,=+9,-,
d/f+4,m,22,21,-3~-2,=+8~+9s,KND,-,
d/f+4,m,22,21,-3~-2,=+8~+9s,KND,-,
f+1,h,7,10,=+1,=+8,=+8,-,
f+1+2,hh,"14,24",14,-9~-8,KND,KND,-,14f punish
f+1+2 (Second hit whiff),h,14,14,-27,-16,-16,-,
f+2,h,12,16,-5~-4,=+4~+5,=+4~+5,-,
f+2,h,12,16,-5~-4,=+4~+5,=+4~+5,-,
f+3,m,16,12,-8,=+3,=+3,-,
f+3,m,16,12,-8,=+3,=+3,-,
f+3~3,m,20,23,=+6~+9,KND,KND,-,
"f+3~3, d/f+3","m, m","20,20",23,-14,KND,KND,-,
f+4,m,21,16,-8~-7,=+4~+5,KND,-,
f+4,m,21,16,-8~-7,=+4~+5,KND,-,
"f+4, F","m, (CDS)",21,16,-1~0,=+11~+12,KND,-,
"f, F+2",m,24,14,-8~-7,KND,KND,-,
"f, F+3",m,20,23,=+2~+4,KND,KND,-,
"f, F+3, 1","m, h","20,5",23,=+1,=+7,=+7,-,
"f, F+3, 1, 3","m, h, h","20,5,10",23,-6,=+4,=+4,-,
"f, F+3, 1, 3 , 2, 1","m, h, h, m, m","20,5,10,10
10",23,-7,=+7,=+7,-,
"f, F+3, 1, 3 , 2, 1, 4","m, h, h, m, m, l","20,5,10,10
10,10",23,-13~-12,=+3~+4,=+3~+4,-,
"f, F+3, 1, 3, 2","m, h, h, m","20,5,10,10",23,-1,=+4,=+4,-,
"f, F+4",m,19,21,=+4~+7s,=+8~+11s,KND,-,
"f, n, d, d/f",(Crouch dash),,22,,,,-,
"f, n, d, D/F+1",m?,20,16,-13~-12,Launch (JG?),Launch (JG?),-,
"f, n, d, d/f+1",m?,22,16,-13~-12,Launch (JG?),Launch (JG?),-,
"f, n, d, D/F+2",h,20,11,-10~-9,KND,KND,-,
"f, n, d, d/f+2",h,25,11,=+5~+6,KND,KND,-,
"f, n, d, d/f+3",m,20,16,-9~-7,=+10~+12kg,KND,-,"Homing, Tail spin"
"f, n, d, d/f+4",l,10,20,-31,KND,KND,-,
"f, n, d, d/f+4, 3+4","l, m (TJ)","10,27",26,-14~-4,KND,KND,-,
"f, n, d, d/f,",,,26,,,,-,
"f, n, d, d/f, u/f",(Special) (TJ)(Crouch dash),,22,,,,-,
FC+1,Sm (TC),5,10,-5,=+6,=+6,-,
FC+2,Sm (TC),8,11,-4,=+7,=+7,-,
FC+3,l (TC),12,16,-17,-3,-3,-,
FC+4,l (TC),10,12,-15,-4,-4,-,
in rage b+1+2,h,55,13,-9,KND,KND,-,Rage art
"in rage f, n, d, d/f+1+2",hm,"25,35",11,-7~-6,Launch(Launch (JG?)),Launch(Launch (JG?)),-,Rage art
"in rage f, n, d, d/f+1+2, 3","hm, h (TJ)","25,35,25",10,=+8~+13g,KND,KND,-,Rage art
"in rage f, n, d, d/f+1+2, 3, 1","hm, h (TJ), m (TC)","25,35,25,24",15,=+9(wl+15g),KND,KND,-,Rage art
"in rage f, n, d, d/f+1+2, D/F","hm, (Crouch dash)","25,35",11,=+14~+15g,Launch(Launch (JG?)),Launch(Launch (JG?)),-,Rage art
Opponent Down d+2,l(On grounded opponent),19,19,-13~-12,=+3~+4,=+3~+4,-,
SS+1,h,7,10,=+1,=+8,=+8,-,
SS+2,h,9,10,0,=+9,=+9,-,
SS+3,h,19,14,-7,=+4,=+4,-,
SS+4,h,18,13,-9~-8,=+16~+17kg,CS,-,"Homing, Tail spin"
u or u/f+3,m (TJ),17,22,-9~-8,=+6~+7,CS (10~+11),-,
u+4,m (TJ),15,15,-13~-11,KND,Launch (JG?),-,
u/b or u or u/f+1,m (TJ),12,18,-8,=+3,=+3,-,
u/b or u+2,h,17,15,-12~-11,=+9~+10g,=+9~+10g,-,
u/b+1+2,!,70,75,KND,KND,KND,-,
u/b+3,m (TJ),13,22,-11~-10,=+4~+5,CS,-,
u/b+4,m (TJ),11,15,-20~-18,-8~-6,-8~-6,-,
u/f+4,m (TJ),13,15,-13~-11,Launch (JG?),Launch (JG?),-,
"u/f, n+4",m,25,23,-11(-13),Launch (JG?),Launch (JG?),-,
WS+1,m,10,13,-6~-5,=+5~+6,=+5~+6,-,
WS+1,m,10,13,-6~-5,=+5~+6,=+5~+6,-,
"WS+1, 2","m, m","10,16",13,-8~-7,=+3~+4s,=+3~+4s,-,13f WS punish
"WS+1, 2, f","m, m, (CDS)","10,16",13,-9~-8,=+2~+3s,=+2~+3s,-,
WS+2,m,14,14,-12~-11,Launch (JG?),Launch (JG?),-,14f WS punish
WS+3,m,20,16,-9~-7,=+10~+12kg,KND,-,"Homing, Tail spin"
WS+4,m,16,11,-3~-2,=+8~+9,=+8~+9,-,11f WS punish
ZEN or CDS 1+2,hh,"8,20",13,-13~-12,Launch,Launch,-,
"ZEN or CDS 1, 2","m, m","14,21",16,-14~-13,KND,KND,-,
ZEN or CDS 2,m,27,22,-14~-13,KND,KND,-,
ZEN or CDS 3,m,20,17,-9~-8,=+10~+11kg,KND,-,"Tail spin, Homing"
ZEN or CDS 3+4,h (TJ),25,22,=+8~+13g,KND,KND,-,
ZEN or CDS 4,l (TC),20,25,-26,KND,KND,-,
ZEN or CDS D/F,(Crouch dash),,RC,,,,-,
