Command,Hit level,Damage,Active Frame,Block frame,Hit frame,Counter hit frame,GIF,Notes
"d/f+3, 3","m, h","13,6",14,-14,-3,-3,-,
"d/f+3, 3, 3","m, h, h","13,6,8",14,-11,0,0,-,
"d/f+3, 3, 3, 1","m, h, h, h","13,6,8,14",14,-9,15,15,-,
"d/f+3, 3, 3, 3","m, h, h, h","13,6,8,20",14,-6,KND,KND,-,Tail spin
"d/f+3, 4","m, h","13,20",14,-6,KND,KND,-,Tail spin
d/f+4,l,14,16,-16,=+5s,KND,-,
"d/f,d/f+1",h,43,12,1+2,-6,,-,
f+1+2 or WS+1+2,m,21,18,-18,KND,KND,-,
f+1+3,h,35,15,1 or 2,-6,,-,
f+2,h,14,14,-2,=+4,=+4,-,
f+2+3,m,25,14,-16,KND,KND,-,
f+2+4,h,35,15,1 or 2,-3,,-,
"f+2, 3","h, h","14,2",14,-7,12k,=+12k,-,Tail spin
f+3,m,14,17,-13,-4,-4,-,
"f+3, 2","m, m","14,2",17,-11,KND,KND,-,Tail spin
"f+3, B",m (CJM),14,17,-5,=+4,=+4,-,
f+4,m,28,19,-14,KND,KND,-,
"f, F+1+2",m,25,18,-9,KND,KND,-,
"f, F+2",h,21,16,6,KND,KND,-,"Homing, Tail spin"
"f, F+3",m (TJ),14,15,-13,JG,JG,-,
"f, F+3, 4","m (TJ), m","14,12",15,-23,JG,JG,-,
"f, F+3, 4, 3","m (TJ), m, m","14,12,9",15,-14,-3,-3,-,
"f, F+3, 4, b+3","m (TJ), m, m (CJM)","14,12,9",15,-1,10,10,-,
"f, F+3, 4, b+3, 4, 1+2","m (TJ), m, m, m! (CJM)","14,12,9,45",15,KND,KND,KND,-,
"f, F+4",m (TJ),20,31,0,KNd,KND,-,
"f, F+4, B",m (TJ) (CJM),20,31,-9,KND,KND,-,
"f, f, f+3",m (TJ),20,23,-23,KND,KND,-,
FC+1,sm (TC),5,10,-5,6,6,-,
FC+3,l (TC),12,16,-17,-3,-3,-,
FC+4,l (TC),10,12,-15,-4,-4,-,
FC+d/b or d+2,sm (TC),8,11,-4,7,7,-,
FC+d/f+2,l (TC),14,20,-21,KND,KND,-,
FC+d/f+2~1,l (TC),21,20,-21,KND,KND,-,
FC+f+1,m,22,22,-9,KND,KNd,-,Wall bounce
FC+f+2,m,25,20,-14s,KND,KND,-,
FC+u+4,m (TJ),18,14,-18,JG,JG,-,
FC+U+4,m (TJ),28,14,-33,KND,KND,-,
"FC+u+4, D",m (TJ),18,14,-19,JG,JG,-,
"FC+U+4, D",m (TJ),28,14,-27,KND,KND,-,
FC+u/b+4,m (TJ),15,18,-18,-12,-12,-,
FC+U/B+4,m (TJ),25,14,-33,-22,-22,-,
"FC+u/b+4, D",m (TJ),15,18,-19,-13,-13,-,
"FC+U/B+4, D",m (TJ),25,14,-27,-16,-16,-,
FC+u/f+4,m (TJ),21,18,-18,JG,JG,-,
FC+U/F+4,m (TJ),30,14,-33,KND,KND,-,
"FC+u/f+4, D",m (TJ),21,18,-19,JG,JG,-,
"FC+U/F+4, D",m (TJ),30,18,-27,KND,KND,-,
in rage b+1+2,h,55,13,-9,Throw(KND),Throw(KND),-,Rage art
in rage qcf+2+3,"m, m)","17,2",15,=+5s,JG,JG,-,Rage drive
Left side throw,h,40,12,1,-3,,-,
Opponent down d+3+4,l,20,17,-17,-6,-6,-,
qcf+1,h,23,13,2,4,JG,-,
qcf+1+2,h,15,11,2,-2 (0 if not broken),,-,
qcf+2,m,17,16,-12,3,KND,-,
"qcf+2, 1","m, m","17,20",16,-14,KND,KND,-,
"qcf+2, 1, B","m, m (CJM)",17,16,-13,2,KND,-,
qcf+3,m,14,16,-13,-2,-2,-,
"qcf+3, 2","m, h","14,25",16,-8,KND,Tail spin,-,Tail spin
"qcf+3, 3","m, h","14,8",16,-11,0,0,-,
"qcf+3, 3, 1","m, h, h","14,8,14",16,-9,15,15,-,
"qcf+3, 3, 4","m, h, h","14,8,20",16,-6,KND,KND,-,Tail spin
qcf+4,mm (TC),"12,12",18,-12,KND,KND,-,
Right side throw,h,38,12,2,-3,,-,
SS+1+2,mm (TJ),"8,21",19,-4,JG,JG,-,
SS+2,l (TC),12,20,-12,0,1,-,
SS+3,m,23,21,4s,8s,KND,-,
u+3,m (TJ),20,14,-15,KND,KND,-,
U+4,m (TJ),18,18,-18,JG,JG,-,
"U+4, D",m (TJ),18,18,-19,JG,JG,-,
u/b or u or u/f+1,h,17,15,-12,9,9,-,
u/b or u+1,m (TJ),12,18,-12,3,3,-,
u/b+3,m (TJ),15,14,-15,-4,-4,-,
U/B+4,m,15,18,-18,-12,-12,-,
"U/B+4, D",m (TJ),15,18,-19,-13,-13,-,
u/f+1,h,10,13,-4,7,7,-,
u/f+1+2,h,"30(,20)",12,1+2,0,,-,
"u/f+1, 3","h, m","10,17",12,-16,7,KND,-,
"u/f+1, 3, 3+4","h, m, mm","10,17,10,10",12,-4,JG,JG,-,
u/f+3,m (TJ),22,25,-3,KND,KND,-,
u/f+3+4,mm (TJ),"4,18",20,-3s,=+5s,=+5s,-,
u/f+4,h (TJ),20,18,-11,-3,-3,-,
U/F+4,m (TJ),21,18,-18,JG,JG,-,
"u/f+4, 3","h (TJ), l","20, 10",18,-17,-6,-6,-,
"u/f+4, 3, 4","h (TJ), l, h","20,10,14",18,-6,5,JG,-,
"u/f+4, 3, 4, u or b","h (TJ), l, h (SS)","20, 10",18,-7,4,4,-,
"U/F+4, D",m (TJ),21,18,-19,JG,JG,-,
"u/f, N, 4",m (TJ),25,25,-9,KND,KND,-,
WS+1,m,12,13,-3,7,7,-,
WS+2,m,22,18,-13,JG,JG,-,
WS+3,m,20,11,-11,0,0,-,
"WS+3, B",m (CJM),20,11,-3,8,8,-,
WS+4,m,16,11,-6,5,5,-,
