Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,GIF,Notes
"b+1+4, 4","hl, m","15,8,23",12,-14~-13,=+5b,=+5b,-,Tail spin
b+2,m,12,15,-4s,=+1s,=+1s,-,
"b+2, 1","m, m","12,14",15,-7,=+4,=+4,-,
"b+2, 1+2","m, h","12,7",15,-9,=+2,=+1,-,
"b+2, 1+2, 4","m, h, m","12,7,20",15,-13~-12,KND,KND,-,Tail spin
"b+2, 1+2, d (Cancel)",m,12,15,-6s,-1s,-1s,-,
"b+2, 4","m, l(LCT)","12,14",15,-11~-9,0~+2,=+3~+5,-,
b+3,m (TJ),15,16,-19~-18,Launch (JG?),Launch (JG?),-,
"b+3, 2","m, m?","15,20",16,-20~-19,Launch (JG?),Launch (JG?),-,
"b+3, 2, (d/b, d or d/f) (Cancel)","m, (Special)?",15,16,-33~-32,Launch (JG?),Launch (JG?),-,
"b+3, 4","m (TJ), l (TC)(LCT)","15,14",16,-11~-9,0~+2,=+3~+5,-,
b+4,m,17,15,-8~-7,=+8~+9,CS,-,
"b+4, 2","m, m","17,12",15,-12~-11,=+4~+5s,=+4~+5s,-,
"b+4, 2, 3","m, m, m","17,12,21",15,-16~-13,KND,KND,-,
BT 1 or 2,h,15,8,-8,=+3,=+3,-,
BT 3 or 4,h,25,10,-8,KND,KND,-,
BT d+1 or 2,Sm,10,10,-2,=+9,=+9,-,
BT d+3 or 4,l,12,10,-11,=+3,=+3,-,
d+1,Sm,5,10,-5,=+6,=+6,-,
d+1+2 or FC+d/b or d+1+2,l (TC),20,20,-18,KND,KND,-,
d+2,m,18,18,-4s,=+9s,KND,-,
d+3,l (TC),12,16,-17,-3,-3,-,
d+3+4,lh (TJ),"5,20",14,-6(-25s),Launch (JG?),Launch (JG?),-,
d+4,l (TC),7,12,-13,-2,-2,-,
d/b+1,m (TC),13,14,-9,=+4,=+9,-,
"d/b+1, 2","m (TC), l","13,17",15,-13~-12,=+3~+4s,KND,-,
d/b+2,m,22,23,-13~-12,Launch,Launch,-,
d/b+3,l,17,21,-12,=+4s,=+14g,-,
d/b+3,l,16,21,-12,=+4s,=+14g,-,
d/b+4,l (TC)(LCT),14,22,-11~-9,0~+2,=+3~+5,-,
"d/b+4, 4","l (TC), l (TC)(LCT)","14,15",22,-7~-5,=+4~+6,KND,-,
"d/b+4, 4, 4","l (TC), l (TC), l (TC)(LCT)","18,20,21",22,-7~-5,=+4~+6,KND,-,
"d/b+4, 4, 4, D","l (TC), l (TC), l (TC)(LCT)","18,20,21",22,-11~-9,0~+2,KND,-,
"d/b+4, 4, D","l (TC), l (TC)(LCT)","15,15",22,-11~-9,0~+2,KND,-,
"d/b+4, D",l (TC)(LCT),14,22,-11~-9,0~+2,=+3~+5,-,
d/f+1,m,10,13,-3~-2,=+8~+9,=+8~+9,-,
"d/f+1, 2","m, h(, (throw))","10,13(,20)",13,-1,Throw(KND),Throw(KND),-,
"d/f+1, 4","m, m","10,22",13,-12~-11,KND,CS,-,
d/f+2,m,14,15,-6~-5,Launch (JG?)(+5a),Launch (JG?),-,
d/f+3,m,22,20,-8~-7,KND,KND,-,
d/f+4,m,16,12,-9,=+2,=+2,-,
f+1,m,17,20,-7,=+4,=+4,-,
f+1+2,h,26,15,-9,KND,KND,-,Power crush
"f+1, 3","m, m","17,17",20,-5,=+6,KND,-,
"f+1, 3, 1","m, m, h","17,17,12",20,-8,=+3,=+3,-,
"f+1, 4","m, lh (TJ)","17,5,20",20,-6(-25s),Launch (JG?),Launch (JG?),-,
"f+1, d+4","m, l (TC)","17,22",20,-26,KND,KND,-,Homing
"f+1, d+4, D/B (Cancel)","m, (Special)",17,20,-26,-15,-15,-,
f+2,m?,20,17,-18~-17,Launch (JG?),Launch (JG?),-,
"f+2, d/b or d or D/F (Cancel)",(Special)?,,17,,,,-,
f+3,m,24,14,-2~0,KND,KND,-,Tail spin
"f+3, * (three spins)",!,28,12,KND,KND,KND,-,Tail spin
"f+3, *, n (two spins)",m,26,12,=+6~+7,KND,KND,-,Tail spin
f+4,h,21,19,=+3~+5,KND,KND,-,"Homing, Tail spin"
"f, F+1",m,30,23,=+4~+5,KND,KND,-,
"f, F+2",m,16,15,-13~-12,-3~-2,-3~-2,-,
"f, F+2, 1","m, h","16,21",15,-5~-4,KND,KND,-,
"f, F+2, 1+2","m, m","16,25",15,-13~-12,ED,ED,-,
"f, F+2, 3","m, m","16,21",15,-8~-7,KND,KND,-,
"f, F+3",m?,23,20,-9~-8,KND,KND,-,"Tail Spin, Homing"
"f, F+4",h (TJ),28,20,-3~-2,KND,KND,-,Tail spin
FC+1,Sm (TC),5,10,-5,=+6,=+6,-,
FC+3+4 WS+3+4,mm (TJ),"10,10",21,-6~-5,=+5~+6s,=+5~+6s,-,
"FC+3+4, 3","mm (TJ), mm (TJ)","10,10,10,10",21,0~+1s,KND,KND,-,
"FC+3+4, 3, D","mm (TJ), mm (TJ)","10,10,10,10",21,0~+1s,KND,KND,-,
"FC+3+4, D",mm (TJ),"10,10",21,-6~-5,=+5~+6s,=+5~+6s,-,
FC+4,l (TC),10,12,-15,-4,-4,-,
FC+d/b or d+2,Sm (TC),8,11,-4,=+7,=+7,-,
FC+d/b or d+3,l (TC),12,16,-17,-3,-3,-,
FC+d/f+2,l (TC),10,16,-11~-10,0~+1,=+18~+19,-,
FC+d/f+3,m,20,17,-9,KND,KND,-,Wall Bounce
in rage d/f+1+2,m,55,20,-22,KND,KND,-,Rage art
"in rage f, F+1+2",m,30,21,=+11~+12g,Launch,Launch,-,Rage drive
LCT 1+4,lh(LCT),"5,8",11,-3(-19s),=+9,=+9,-,
LCT 3,h(LCT),21,18,-3,Launch,Launch,-,
SS+1,h,8,10,-2,=+9,=+9,-,
SS+2,m,23,13,-9~-8,KND(KND),KND(KND),-,
SS+3,m,17,14,-7,=+9,=+9,-,
SS+4,h,18,17,-6~-2,=+7~+11,KND,-,
u or u/f+4,m (TJ),25,20,-13~-12,Launch (JG?),Launch (JG?),-,
u/b or u or u/f+1,m (TJ),12,18,-8,=+3,=+3,-,
u/b or u or u/f+3,m (TJ),17,20,-3~-2,=+8~+9,KND,-,
u/b or u+2,h,17,15,-12~-11,=+9~+10g,=+9~+10g,-,
u/b+4,m (TJ),25,20,-15~-14,Launch (JG?),Launch (JG?),-,
"u/b, b, 3 or f, f, f+3",m (TJ),32,24,0~+4,KND,KND,-,
u/f+2,h (throw),"20(,20)",14,-7,Throw(KND),Throw(KND),-,
u/f+2 (No throw),h,20,14,-7,=+,=+,-,
WS+1,m,12,14,-7~-6,=+4~+5,=+4~+5,-,
WS+1+2,m?,20,21,-2,=+5,CS (17),-,
"WS+1, 4","m, h","12,20",14,-12,KND,KND,-,
WS+2,m,18,13,-8~-7,=+8~+9,=+8~+9,-,
"WS+2, 1","m, h","18,10",13,-2,=+9,=+9,-,
WS+3,m,20,19,-16~-15,Launch (JG?),Launch (JG?),-,
WS+3,m,20,18,-16~-15,Launch (JG?),Launch (JG?),-,
WS+4,m,15,11,-3~-2,=+8~+9,=+8~+9,-,
