Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,Tracking,Notes
b+4,h,20,19,-5~-4,=+16~+17kg,KND,-,"Tail spin, Homing"
b+4,h,20,19,-5~-4,=+16~+17kg,KND,-,"Tail spin, Homing"
BT 1 or 2,h,15,8,-8,3,3,-,
BT 3 or 4,h,25,10,-8,KND,KND,-,
BT d+1 or 2,Sm,10,10,-2,9,9,-,
BT d+3 or 4,l,12,10,-11,3,3,-,
d+1+2,l (TC),18,25,-14,=+1s,KND,-,
d+2,Sm (TC),8,11,-4,7,7,-,
d+3,l (TC),12,16,-17,-3,-3,-,
d+4,l (TC),7,12,-13,-2,-2,-,
d/b or d+1,Sm (TC),5,10,-5,6,6,-,
d/b or d+1,Sm (TC),5,10,-5,6,6,-,
d/b+2,m,20,20,-9s,KND,KND,-,
d/b+2,m,20,20,-9s,KND,KND,-,
d/b+3,l (TC),14,19,-12~-11,-1~0,=+7~+8s,-,
d/b+3,l (TC),14,19,-12~-11,-1~0,=+7~+8s,-,
d/b+4,l,18,20,-12~-11,=+4~+5,=+17g,-,
d/b+4,l,18,20,-12~-11,=+4~+5,=+17g,-,
d/f+1,m,11,15,-7~-6,=+9~+10,=+9~+10,-,
d/f+1,m,11,15,-7~-6,=+9~+10,=+9~+10,-,
"d/f+1, 2","m, m","11,20",15,-13s,KND,KND,-,
"d/f+1, 4","m, h","11,20",15,-4~-3,=+17~+18kg,=+17~+18kg,-,Tail spin
"d/f+1, f+2","m, m","11,22",15,-12,KND,KND,-,
d/f+2,m,22,14,-12,5,CS(13),-,Homing
d/f+2,m,22,14,-12,5,CS(13),-,Homing
d/f+3,m,13,18,-7~-6,=+9~+10,=+9~+10,-,
d/f+3,m,13,18,-7~-6,=+9~+10,=+9~+10,-,
"d/f+3, 2","m, m","13,15",18,-11,5,5,-,
"d/f+3, 2, 1","m, m, m","13,15,21",18,-18,KND,24,-,
d/f+4,m,10,13,-9~-8,=+2~+3,=+2~+3,-,
d/f+4,m,10,13,-9~-8,=+2~+3,=+2~+3,-,
"d/f+4, 4","m, m","10,16",13,-15~-14,-4~-3s,-4~-3s,-,
DVK 1+2,h!,40,42,KND,KND,KND,-,
DVK 3+4,! (TJ),30,69,KND,KND,KND,-,
"DVK 3+4, 3+4","(Special) (TJ), ! (TJ)",30,113,KND,KND,KND,-,
DVK d+1+2 (Opponent Down),l(On grounded opponent),20,22,-16~-8,KND,KND,-,
DVK d/f+1,m,11,15,-7~-6,=+9~+10,=+9~+10,-,
"DVK d/f+1, 2","m, m","11,11",15,-12~-11,Launch (JG?),Launch (JG?),-,15f punish
DVK f+1+2,m?,21,22,-9~-8,CS,CS,-,
DVK f+4,m,20,19,=+4~+5s,=+7~+8s (+15~+16),KND,-,
"DVK f, F+2",m,"20, 15",16,-12,Throw(CS),Throw(CS),-,
"DVK f, n, d, d/f+1",m,30,22,-16~-14,Launch,Launch,-,
"DVK f, n, d, d/f+1 When hit U/F","m, (throw)","30,15",22,-16~-14,Throw(KND),Throw(KND),-,
"DVK f, n, d, D/F+2",m,23,11,-10~-9,Launch (JG?),Launch (JG?),-,
"DVK f, n, d, d/f+2",m,23,11,-6~-5,Launch (JG?),Launch (JG?),-,
"DVK f, n, d, d/f+4",l,15,16,-23,-3s (KND),KND,-,
"DVK f, n, d, d/f+4 , 1, f, n, d, d/f+1","l, m, m","15,27,20",22,-17~-15,Launch,Launch,-,
"DVK f, n, d, d/f+4 , 1, f, n, d, d/f+1 When hit U/F","l, m, (throw)","15,27,20,15",22,-17~-15,Throw(KND),Throw(KND),-,
"DVK f, n, d, d/f+4, 1","l, m","15,27",16,-16,KND,KND,-,
"DVK f, n, d, d/f+4, 4","l, l","15,12",22,-23,KND,KND,-,
DVK SS+2,m,25,17,-22~-21,Launch,Launch,-,
DVK u or u/f+1+2,(Sky)!,26,20,KND,KND,KND,-,
DVK u/b+1+2,(Special),,16,,,,-,
"Even frame f, n (SSR)",(Special),,23,,,,-,
f+1,h,7,10,1,8,8,-,
f+1+2,m,20,25,-9,KND,KND,-,Wall bounce
f+2,m,25,20,-12,KND,KND,-,Power crush
f+2,m(h or m punch parry),25,20,-12,KND,KND,-,Power crush
f+3,m,22,19,-13~-12,=+5~+6,=+23g(KND),-,
f+3,m,22,19,-13~-12,=+5~+6,=+23g(KND),-,
f+4,m,20,19,=+4~+5s,=+7~+8s,KND,-,
f+4,m,20,19,=+4~+5s,=+7~+8s,KND,-,
"f, F+2",h,30,13,-11,KND,KND,-,
"f, F+3",m,25,20,-3~-1s,KND,KND,-,
"f, F+4",m,22,17,-9~-8,=+5~+6,bKZD,-,
"f, f, f+3 or WR+3",m (TJ),30,22,=+9~+12g,KND,KND,-,
"f, n, d, D/F",(Special),,16,,,,-,
"f, n, d, d/f+1",m?,30,22,-16~-14,Launch,Launch,-,
"f, n, d, D/F+2",h,23,11,-10~-9,Launch (JG?),Launch (JG?),-,
"f, n, d, d/f+2",h,23,11,=+5~+6,Launch (JG?),Launch (JG?),-,Electric
"f, n, d, d/f+3",h (TJ),40,18,-9~0,KND,KND,-,
"f, n, d, d/f+4",l,15,16,-23,-3s (KND),KND,-,
"f, n, d, d/f+4, 1","l, m","15,27",16,-16,KND,KND,-,
"f, n, d, d/f+4, 4","l, l","15,12",16,-23,KND,KND,-,
"f, n, d/f+1",m,30,22,-16~-14,Launch,Launch,-,
"f, n, D/F+2",h,23,12,-10~-9,Launch (JG?),Launch (JG?),-,
"f, n, d/f+2",h,23,11,=+5~+6,Launch (JG?),Launch (JG?),-,
"f, n, d/f+3",h (TJ),40,18,-9~0,KND,KND,-,
"f, n, d/f+4",l,15,16,-23,-3s (KND),KND,-,
FC+1,Sm (TC),5,10,-5,6,6,-,
FC+2,Sm (TC),18,11,-4,7,7,-,
FC+3,l (TC),12,16,-17,-3,-3,-,
FC+4,l (TC),10,12,-15,-4,-4,-,
FC+d/f+3+4,m (TC),24,23,-11s,KND,KND,-,
in rage d/f+1+2,m,55,20,-22,KND,KND,-,Rage art
"in rage f, n, d, d/f+1+4",m,45,18,=+5~+6,Launch,Launch,-,Rage drive
"in rage f, n, d, d/f+1+4, u/f (Only when hit )","m, (throw), (DVK)","45,18",18,,Throw(KND),Throw(KND),-,Rage drive
in rage u/b+1+2 (to DVK),m (DVK),,20,-6,KND,KND,-,
"Odd frame f, n (SSL)",(Special),,23,,,,-,
Opponent Down d+3+4,On grounded opponent(l),20,23,-12,-1,-1,-,
SS+1,h,7,10,1,8,8,-,
SS+1+2,h,25,16,-6~-5,KND,KND,-,Tail spin
SS+2,h,12,12,-3,8,8,-,
SS+3,m,23,23,-7,CS,CS,-,
SS+3,m,23,23,-7,CS,CS,-,
SS+3+4,h,14,14,-8,4,4,-,
SS+4,h,18,12,-9,2,CS,-,
u or u/f+3,m (TJ),25,19,-9~-8,KND,KND,-,
u or u/f+3,m (TJ),25,19,-9~-8,KND,KND,-,
u or u/f+4,m (TJ),16,25,-12~-10,-1~+1,-1~+1,-,
u or u/f+4,m (TJ),16,25,-12~-10,-1~+1,-1~+1,-,
u/b or u or u/f+1,m (TJ),12,18,-8,3,3,-,
u/b or u or u/f+2,h,17,15,-12~-11,=+9~+10g,=+9~+10g,-,
u/b+3,m (TJ),25,21,-17,KND,KND,-,
u/b+4,m (TJ),,15,-19,-8,-8,-,
"u/f+4, 4","m (TJ), l","16,12",25,-23,KND,KND,-,
"u/f+4, 4, 4","m (TJ), l, l","16,12,10",25,-23,KND,KND,-,
"u/f+4, 4, 4, 4","m (TJ), l, l, m","16,12,10,20",25,-17,KND,KND,-,
"u/f, n+4",m,25,23,-11(-13),Launch (JG?),Launch (JG?),-,
WS+1,m,10,13,-5~-4,=+5~+6,=+5~+6,-,
WS+1,m,10,13,-5~-4,=+5~+6,=+5~+6,-,
WS+1+2,m,12,12,-2~-1,=+9~+10,=+9~+10,-,
"WS+1, 2","m, m","10,12",13,-12~-11,Launch (JG?),Launch (JG?),-,13f WS punish
WS+2,m,25,16,-18~-17,CS,CS,-,16f WS punish
WS+2,m,25,16,-18~-17,CS,CS,-,Homing
WS+3,m,24,21,-5~-3,KND,KND,-,"Homing, Tail spin"
WS+3,m,24,21,-5~-3,KND,KND,-,"Homing, Tail spin"
WS+4,m,13,11,-3~-2,=+8~+9,=+8~+9,-,
"WS+4, 4","m, m","13,16",11,-15~-14,-4~-3s,-4~-3s,-,11f WS punish
