Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,GIF,Notes
d/f+2,m,10,16,-7,=+3,=+3,-,
"d/f+2, 1","m, m","10,10",16,-18~-17,Launch (JG?),Launch (JG?),-,
"d/f+2, 4","m, m","10,13",16,-11,0,0,-,
"d/f+2, 4, 3","m, m, m","10,13,23",16,-17~-16,KND,KND,-,
d/f+3,m,14,12,-9,=+1,=+1,-,
d/f+4,m,24,19,-16,KND,KND,-,
DFLIP 1,h,15,34,-4~+7,KND,KND,-,
DFLIP 1+3 or 2+4,h(Throw),30,32,,Throw(KND),,-,
DFLIP 2,m,20,16,-9~-5s,KND,KND,-,
DFLIP 3,m,21,14,-10~+1,=+24k,KND,-,"Tail spin, Homing"
DFLIP 4,Sm,15,12,=+4~+7g,=+16~+19s,=+16~+19s,-,
DFLIP n,l,23,51,-24~-18,KND,KND,-,
f+1,h,7,10,=+1,=+8,=+8,-,
f+1+2,mm,"5,15",20,-8s,=+5s,=+5s,-,
f+1+2 (Second hit miss),m,5,20,–,–,–,-,
f+2,Sm,17?,15,-9,0,0,-,
f+3,m,16,17,-9,=+1,=+1,-,
f+3,m,18,17,-9,=+1,=+1,-,
f+3+4,m (TJ)(TPORT),20,22,-9~-8,=+2~+3,=+2~+3,-,Homing
f+4,h,20,16,-9~-8,KND,KND,-,"Tail spin, Homing"
f+4,h,20,16,-9,KND,KND,-,"Tail spin, Homing"
"f, d, d/f+1",Sm,15,10,-26,Launch (JG?),Launch (JG?),-,
"f, d, d/f+1+2",Sm x 3,"6,6,23",11,-34,Launch (JG?),Launch (JG?),-,
"f, d, d/f+1+2 (On counter)","Sm, (throw)","7,8,9,9,9",11,,,Throw(Launch),-,
"f, d, d/f+1, 1+2f, f",Sm,15,10,=+1,Launch (JG?),Launch (JG?),-,
"f, d, d/f+2",Sm x 3,"6,6,20",11,-34 (~16?a),Launch (JG?),Launch (JG?),-,
"f, d, d/f+2, 1+2f, f (Only first hit)",Sm,6,11,0~,=+14,,-,
"f, d, d/f+2, 1+2f, f (Only two first hits)",Sm x 2,"6,6",11,=+?,Launch (JG?),Launch (JG?),-,
"f, d, d/f+3(or 4)",(Special) (TJ)(DFLIP),,11,,,,-,
"f, d, d/f+3+4 or b, d, d/b+3+4",(Special),,5,,,,-,
"f, F+1",h,7,10,=+1,=+8,=+8,-,
"f, F+2",m,14,15,-14,-2,-2,-,
"f, F+2",m,14,16,-13?,-1?,-1?,-,Wall bounce
"f, F+2:1","m, m","14,20",15,-13~-12,KND,KND,-,
"f, F+3",m,18,17,-8,=+2,=+2,-,
"f, F+4",m,23,20,0~+1,=+2~+3s,KND,-,
"f, F+4",m,23,20,=+2,=+4s,=+4s,-,
"f, f, f+1",h,30,16,=+1~+2,KND,KND,-,
"f, f, f+3",m (TJ),30,26,=+3~+8,KND,KND,-,
FC+1,Sm (TC),5,10,-5,=+6,=+6,-,
FC+2,Sm (TC),6,12,-4,=+7,=+7,-,
FC+3 (Close),l (TC)?,10,15,-11,-2,-2,-,
FC+3 (Far),l (TC)?,6,15,-11?,-2?,-2?,-,
FC+4,l (TC),20,17,-26~?,KND,KND,-,
Forward jump 1,m (TJ),,40,-?,=+?,=+?,-,
Forward jump 1 (Close to ground),m (TJ),,40,,,,-,
Forward jump 1 Backward jump 1,m (TJ),10,40,-23~+4,-13~+14,-13~+14,-,
Forward jump 2,m (TJ),15,40,=+3?,=+14?,=+14?,-,
Forward jump 2 (Close to ground),m (TJ),15,40,=+7,=+17,=+17,-,
Forward jump 2 Backward jump 2,m (TJ),15,40,-18~+9,-8~+19,-8~+19,-,
Forward jump 3,m (TJ),,40,,,,-,
Forward jump 3 (Close to ground),m (TJ),,40,=+2,=+12,=+12,-,
Forward jump 3 Backward jump 3,m (TJ),10,40,-26~+2,-16~+12,-16~+12,-,
Forward jump 4,m (TJ),15,40,=+3?,=+14?,=+14?,-,
Forward jump 4 (Close to ground),m (TJ),15,40,=+7,=+17,=+17,-,
Forward jump 4 Backward jump 4,m (TJ),15,40,-20~+9,-10~+19,-10~+19,-,
Forward jump Top of jump d+3,m (TJ),14,34,-6~+1,=+9s~+16s,=+9s~+16s,-,
Forward jump Top of jump d+3,m (TJ),14,34,=+4~,=+s,KND,-,
hcb+1,Sm,15,28,-9~,-1,-1,-,
hcb+1+2,Sm x 3,"12,12,12",28,=+9~,KND,KND,-,
hcb+2,Sm x 3,"9,9,9",33,-1~,KND,KND,-,
"in rage 1, 1, b or f+3, 2",m(Throw),55,16,,Throw(KND),Throw(KND),-,Rage art
Jump qcb+3 or 4,Sm,10,13,-9~+2,KND,KND,-,
Jump qcb+3+4,Sm,10,13,-4~+9,KND,KND,-,
Jump qcf+1 or 2,Sm,10,18,-21~,-11~,-11~,-,
Jump qcf+1+2,"Sm, Sm","10,10",10,=+3~,=+7~,=+7~,-,
qcb+3,h (TJ),10,1,-15,KND,KND,-,Tail spin
qcb+3+4,Sm x 4,"6,6,6,20",10,-22,KND,KND,-,Tail spin
qcb+4,"Sm (TJ), h x 3","13,6,6,6",10,-14,KND,KND,-,
qcf+1 or qcf+2,Sm,14,19,-13~,-5~,-5~,-,
qcf+1+2,"Sm, Sm","10,10",19,=+1~,KND,KND,-,
"qcf+1, 1+2f, f",Sm,14,19,=+7?~,=+15~,=+15~,-,
"qcf, qcf+1+2",Sm x 5,58(20*5),19,=+2~,KND,KND,-,
SS+1,h,7,10,=+1,=+8,=+8,-,
SS+2,Sm,15,15,-9,0,0,-,
SS+3,h,14,15,-8,=+3,=+3,-,
SS+4,h,12,14,-13,=+2,=+2,-,
TPORT(f+3+4) qcb+3+4,"m (TJ), Sm x 3(TPORT)","20,6,6,20",14,-15,KND,KND,-,
TPORT(f+3+4) qcb+3+4 (second and third hit miss),"m (TJ), Sm(TPORT)","20,6",14,-35,KND,KND,-,
TPORT(f+3+4) qcb+3+4 (Third hit miss),"m (TJ), Sm x 2(TPORT)","20,6,6",14,-25,KND,KND,-,
TPORT(f+3+4) qcf+1+2,"m (TJ), Sm x 2(TPORT)","20,10,10",14,-5~-1,=+5~+9,=+5~+9,-,
Vertical jump 1,m (TJ),10,16,-25~+2,-15~+12,-15~+12,-,
Vertical jump 1,m (TJ),10,19,–,=+?,,-,
Vertical jump 2,m (TJ),15,19,-18~+7,-8~+17,-8~+17,-,
Vertical jump 2,m (TJ),20,19,,,,-,
Vertical jump 3,m (TJ),10,19,-25~+2,-15~+12,-15~+12,-,
Vertical jump 3,m (TJ),10,19,–,=+?,,-,
Vertical jump 4,m (TJ),15,19,-18~+7,-8~+17,-8~+17,-,
Vertical jump 4,m (TJ),20,19,–,=+,,-,
WR+4,l (TJ),23,20,-24~-18,KND,KND,-,
WS+1,h,12,13,-5,=+6,=+6,-,
WS+2,m,17,15,-15~-14,Launch (JG?),Launch (JG?),-,
WS+2,m,17,15,-15?,Launch (JG?),Launch (JG?),-,
WS+3,m,17,13,-7,=+5,CS,-,
WS+3,m,17,13,-10,=+2,KND,-,
WS+4,m,10,11,-9~-8,=+2~+3,=+2~+3,-,
WS+4,m,10,11,-9,=+2,=+2,-,
"WS+4, 4","m, m","10,20",11,-15~-14,-5~-4s,TUD,-,
