Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,Tracking,Notes
"b+3, F or d/F","m, (Special) (TC)(CD)",12,20,=+1,=+12g,=+12,-,
b+4,m,18,16,-10,=+15,=+15,-,
"b, B+4",m(h),24,21,-19~-7,KND,KND,-,
"b, d/f+4",l,25,29,-13,=+14g,KND,-,
BT 1 or 2,h,15,8,-8,=+3,=+3,-,
BT 3 or 4,h,25,10,-8,KND,KND,-,
BT d+1 or 2,Sm,10,10,-2,=+9,=+9,-,
BT d+3 or 4,l,12,10,-11,=+3,=+3,-,
d+1+2 FC+1+2,mm (TC),"10,15",17,-10,=+3,=+3,-,
d+1+2 FC+1+2 (Second hit miss),m,10,17,-28,-17,-17,-,
"d+1+2, 3","mm, l","10,15,20",17,-13~-12,=+4~+5,KND,-,
"d+1+2, B","m, (SWAY)",10,16,-8,=+3,=+3,-,
"d+1+2, F","m, (CD)",10,16,-1,=+10g,=+10g,-,
d+1+2~2,m,24,45,=+2,KND,KND,-,
d+2,m,14,14,-2~-1,=+1~+2s,=+8~+9s,-,
d+2,m,14,14,-2~-1,=+1~+2s,=+8~+9s,-,
"d+2, 3","m, m","14,21",14,-10,KND,Launch,-,
d+3,l,10,16,-11,0,0,-,
d+3,l,10,16,-11,0,0,-,
d+3+4,l,15,19,-12,-1,=+4,-,
"d+3+4, 2","l, m?","15,23",19,-12,KND,KND,-,
"d+3+4, 2, d/b (Cancel)","l, (Special)",15,19,-23,-12,-7,-,
"d+3, 2","l, h","10,22",16,-7,KND,KND,-,
d+4,l,11,15,-11,0,0,-,
d+4,l,11,15,-11,0,0,-,
d/b or d+1,Sm (TC),5,10,-5,=+6,=+6,-,
d/b+1+2,mh,"14,25",15,-13,KND,KND,-,
d/b+2,m?,13,15,-6~-4,=+8~+10g,=+8~+10g,-,
d/b+3,l (TC),11,16,-12~-11,-1~0,=+4~+5,-,
d/b+4,l (TC),7,12,-13,-2,-2,-,
d/f+1,m,8,15,-5,=+1,=+1,r,
"D/F+1, 1","m, m","8,2",15,-10,-4,-4,-,
"D/F+1, 1, 1","m, m, m","8,2,2",15,-10,-4,-4,-,
"D/F+1, 1, 1, 1","m, m, m, m","8,2,2,2",15,-10,-4,-4,-,
"d/f+1, 2","m, m","8,20",15,-15,=+1,KND,-,
d/f+2,m,12,13,-6,=+5,=+5,-,
"d/f+2, 1","m, h","12,11",13,-4,=+4,=+4,-,
"d/f+2, 3","m, m","12,20",13,-13,CS,CS,-,
d/f+3,l (TC),20,29,-26,KND,KND,-,Homing
d/f+4,m,23,22,-6~-4,KND,KND,-,"Tail spin, Homing"
f+1,h,7,10,=+1,=+8,=+8,-,
f+1+2,h,22,22,=+8~+9,KND,KND,-,Tail spin
f+1+4,!,21,28,-12,-12,-12,-,
f+2,m,10,15,-10,=+1,=+1,-,
f+2,m,10,15,-10,=+1,=+1,-,
"f+2, 1","m, m","10,12",15,-10,=+1,=+1,-,
"f+2, 1, 4","m, m, m","10,12,20",15,-13~-12,KND,KND,-,
f+3,m,18,16,0~+2,=+1~+3,CS,-,
f+4,m,10,18,-9,0,0,-,
"f+4, 1","m, m","10,10",18,-13~-12s,JG,JG,-,18f punish
"f, b+2",h,20,14,-7~-6,Launch,Launch,-,14f punish
"f, F+2",h,32,13,-10,KND,KND,-,Power crush
"f, F+3",m,25,22,-13~-12,KND,KND,-,Tail spin
"f, F+3* (Very long hold)",m,33,34,=+8~+9,KND,KND,-,Tail spin
"f, F+4",h,32,16,-10~-7s,KND,KND,-,"Homing, Tail spin"
"f, f, f+3",m,30,22,=+9~+12g,KND,KND,-,
FC+1,Sm (TC),5,10,-5,=+6,=+6,-,
FC+2,Sm (TC),8,11,-4,=+7,=+7,-,
FC+d/b or d+3,l (TC),12,16,-17,-3,-3,-,
FC+d/b or d+4,l (TC),10,12,-15,-4,-4,-,
FC+d/f+3,l (TC),12,16,-17,-3,-3,-,
FC+d/f+4,m,21,15,-10~-9,=+13~+14kg,KND,b,Tail spin
GUP When hit b or F+2,"m, (throw)","18,25",19,-10,Throw(KND),Throw(KND),-,
in rage b+1+2,m,30,18,=+6~+7s,KND,KND,-,Rage art
in rage d/f+1+2 or FC+d/f+1+2,m,55,20,-22,KND,KND,-,Rage art
qcb (to SWAY),(SWAY),,16,,,,-,
qcb+2,m,16,15,-9~-8,=+6~+7,=+6~+7,-,
"qcb+2, 4","m, h","16,25",15,-10~-7s,KND,KND,-,Tail spin
qcb+3,l,21,19,-13~-12,=+4~+5,KND,-,
qcb+4,m,21,17,-12~-11,Launch,Launch,-,
qcf or In certain strings F (to CD),(Special) (TC)(CD),,10,,,,-,
qcf+1,m,20,15,-16~-15,JG,JG,-,
qcf+1+2,m?,28,15,-12~-11,KND,KND,-,Wall bounce
qcf+2,h,18,14,-6,=+4,=+4,-,
"qcf+2, 1","h, m",26,14,-11,KND,KND,-,
qcf+3,m,18,12,-10,=+4,KND,-,
"qcf+3, 4","m, m","18,25",12,-10,=+4,KND,-,
qcf+4,m,13,18,-5,=+1,=+3,-,
"qcf+4, 1","m, h","13,14",18,0,CS,CS,-,
"qcf+4, 1, 2","m, h, h","13,14,22",18,-9,KND,KND,-,
"qcf+4, 1, 4","m, h, m (TJ)","13,14,21",16,-5~-4,KND,KND,-,Tail spin
"qcf+4, 1, d or u (Cancel)","m, (Special)",13,18,-11,-5,-3,-,
SS+1,h,23,17,-5~-4,CS,CS,-,Tail spin
SS+1,h,23,17,-5~-4,CS,CS,-,Tail spin
SS+2,m,20,20,-6~-5,KND,KND,-,
"SS+2, 3","m, l","20,20",20,-13~-12,=+5~+6,KND,-,
SS+3,m,14,16,-4,=+7,=+7,-,
SS+4,h,15,12,-7,=+6,Launch (JG?),-,
u or u/f+3,m (TJ),15,27,0~+1,KND,KND,-,
u or u/f+3+4,m (TJ),25,21,-17,KND,KND,-,
u+4,m (TJ),21,14,-5~-3,KND,KND,-,Orbital
u/b or u or u/f+1,m (TJ),12,18,-8,=+3,=+3,-,
u/b or u or u/f+2,h,17,15,-12~-11,=+9~+10g,=+9~+10g,-,
u/b+1+2,mm,"5,2",15,-16,-6,-6,-,
u/b+1+2 (Second hit miss),m,5,15,-18,-7,-7,-,
"u/b+1+2, 1","mm, m","5,2,2",15,-13,-3,-3,-,
"u/b+1+2, 1, 2","mm, m, m","5,2,2,2",15,-16,-6,-6,-,
"u/b+1+2, 1, 2, 1","mm, m, m, m","5,2,2,2,2",15,-13,-3,-3,-,
"u/b+1+2, 1, 2, 1, 2","mm, m, m, m, m","5,2,2,2,2,2",15,-16,-6,-6,-,
"u/b+1+2, 1, 2, 1, 2, 1","mm, m, m, m, m, m","5,2,2,2,2,2,
2",15,-13,-3,-3,-,
"u/b+1+2, 1, 2, 1, 2, 1, 2","mm, m, m, m, m, m, m","5,2,2,2,2,2,
2,2",15,-16,-6,-6,-,
"u/b+1+2, 1, 2, 1, 2, 1, 2, 1","mm, m, m, m, m, m, m, m","5,2,2,2,2,2,2,
2,2,2",15,-13,-3,-3,-,
"u/b+1+2, 1, 2, 1, 2, 1, 2, 1, 2","mm, m, m, m, m, m, m, m, m","5,2,2,2,2,2,
2,2,2,2",15,-16,-6,-6,-,
"u/b+1+2, 1, 2, 1, 2, 1, 2, 1, 2, 1","mm, m, m, m, m, m, m, m, m, m","5,2,2,2,2,2,
2,2,2,2,2",15,-32,-15,-15,-,
"u/b+1+2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 4","mm, m, m, m, m, m, m, m, m, m, m","5,2,2,2,2,2,
2,2,2,2,2,14",15,-35,KND,KND,-,
u/b+3,m (TJ),18,18,-13,-2,KND,-,
u/b+4,m (TJ),10,15,-19~-17,-8~-6,-8~-6,-,
u/f+4,m (TJ),22,24,-5~-3,KND,KND,-,
"u/f, n+4",m,25,23,-11(-13),Launch (JG?),Launch (JG?),-,
WS+1,m,20,15,-16~-15,Launch (JG?),Launch (JG?),-,15f WS punish
WS+1+2,m,12,10,-5~-4,=+6~+7,=+6~+7,-,
WS+1+2,m,12,10,-5~-4,=+6~+7,=+6~+7,-,
WS+2 (to GUP),m(GUP),18,19,-10,=+1,=+1,-,19f WS punish
WS+3,m,18,12,-10,=+4,uKZD,-,12f WS punish
WS+3+4,h,28,16,-16,KND,KND,-,
"WS+3, 4","m, m","18,25",12,-10,=+4,=+29G,-,
WS+4,m,16,11,-6~-5,=+5~+6,=+5~+6,-,11f WS punish
