Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,GIF,Notes
"f, F+3, D",h (special),23,23,=+8,KND,KND,-,"Homing, Tail spin"
"f, F+4",m,30,17,-14,KND,KND,-,Wall bounce
"f, f, f+3",m (TJ),30,23,=+10g,KND,KND,-,
"f, f, f+3+4",m (TJ),40,28,=+17g,KND,KND,-,
"f, f, N, 2",l (TC),17,19,-18,=+7,KND,-,
"f, N, d, d/f+1",h,23,15,=+6,KND,KND,-,
"f, N, d, d/f+1+2",h!,12,28,=+7g~+17g,=+7g~+17g,=+7g~+17g,-,
"f, N, d, d/f+2",h,20,11,-10,JG,JG,-,
"f, N, d, d/f+3",h!,23,31,KND,KND,KND,-,
"f, N, d, d/f+4",m (TJ),22,16,-9,KND,KND,-,
FC+1,sm (TC),5,10,-5,=+6,=+6,-,
FC+2,sm (TC),8,11,-4,=+7,=+7,-,
FC+3,l (TC),12,18,-16,-2,-2,-,
FC+4,l (TC),12,14,-15,-4,-4,-,
FC+d/f+2,m,23,24,=+1,KND,KND,-,
In rage b+3+4,m (throw),55,20,-22,throw,throw,-,Rage art
"In rage f, N, d, d/f+1+2",h!,0,20,=+24g,=+24g,=+24g,-,Rage drive
opponent grounded d+4,l,20,19,-16,-5,-5,-,
"opponent grounded d+4, 4","l, l","20, 8",19,-16,-5,-5,-,
"opponent grounded d+4, 4, 4","l, l, l","20, 8, 6",19,-16,-5,-5,-,
SS+2,m,10,15,-12,-1,-1,-,
"SS+2, 1","m, m",10,15,-13s,JG,JG,-,
SS+3+4,m (TC),28,24,-6,KND,KND,-,
"SS+3+4, Any button",m (TC) (special),28,24,-26g,KND,KND,-,
SS+4,m,22,19,-12,KND,KND,-,
u or u/f+1,m (TJ),12,18,-12,-1,-1,-,
u or u/f+3,m (TJ),18,21,-8,=+5,KND,-,
u+4,m (TJ),14,15,-13,KND,JG,-,
u/b or u or u/f+2,m (TJ),35,48,-18s,KND,KND,-,
u/b+1,h,21,20,-6,KND,KND,-,Homing
u/b+3,m (TJ),25,23,-19,KND,KND,-,
u/b+4,m (TJ),11,15,-19,-8,-8,-,
u/f+1+2,m (TJ),25,35,=+2s,KND,KND,-,
u/f+1+2 (hold),m! (TJ),45,67,KND,KND,KND,-,
u/f+3+4,m (TJ),23,32,-7,KND,KND,-,
u/f+4,m (TJ),13,15,-13,JG,JG,-,15f punish
"u/f, N, 1+2",m (TJ),25,70,=+2s,KND,KND,-,
"u/f, N, 1+2 (hold)",m! (TJ),45,102,KND,KND,KND,-,
"u/f, N, 1+4",m! (TJ),25,87,KND,KND,KND,-,
"u/f, N, 3+4",l (TJ),12,52,-16,-5,-3,-,
"u/f, N, 4",m (TJ),25,23,-11,JG,JG,-,
WR+4,l (TJ),20,20,-24,KND,KND,-,
WS+1,m,16,16,-10,JG,JG,-,16f WS punish
WS+2,m,17,12,-10,=+2,KND,-,12f WS punish
WS+3,h,28,16,0,KND,KND,-,
WS+4,m,20,11,-6,=+5,=+5,-,11f WS punish
