Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,Tracking,Notes
"3, d, D","h, (Special)",14,14,-23,-12,-12,-,
4,h,15,11,-9,=+8,Launch (JG?),-,
"4, 3","h, l (TC)","15,13",10,-17,-3,-3,-,
"4, 3, 2","h, l (TC), m","15,13,10",10,-13~-11,Launch (JG?),Launch (JG?),-,
"4, 3, 4","h, l (TC), h","15,13,18",10,-6,=+5,Launch (JG?),-,
"4, 3, 4, 3","h, l (TC), h, m","15,13,10,20",10,=+2~+3s,=+5~+6s,KND,-,
"4, u","h, (Special)",15,11,-34,-17,Launch (JG?),-,
"4, u, 1+2","h, (Special), m","15,22",11,-11,KND,KND,-,
"4, u, D","h, (Special)",15,11,-30,-13,Launch (JG?),-,
b+1,m,15,20,-16,CS,CS,-,
b+1+2,"m, m","6,26",18,-7,CS,CS,-,
b+1+4,mm,"4,14",16,-15~-14,Launch (JG?),Launch (JG?),-,
b+2,h,12,12,-14,-3,-3,-,
"b+2, 2","h, h","12,14",12,-6~-5,=+5~+6,=+5~+6,-,
"b+2, 2, 2","h, h, h","12,14,20",12,-9~-8,=+9~+10kg,KND,-,
"b+2, 2, 2, u or D (Cancel)","h, h, (Special)","12,14",12,-10~-9,=+1~+2,=+1~+2,-,
b+3,m,10,18,-6,=+6s,=+6s,-,
"b+3, 4","m, h","10,17",18,-8~-7,KND,CS,-,
b+4,h,15,14,-7,=+11(SH),=+18,-,
BT 1 or 2,h,15,8,-8,=+3,=+3,-,
BT 3 or 4,h,25,10,-8,KND,KND,-,
BT d+1 or 2,Sm,10,10,-2,=+9,=+9,-,
BT d+3 or 4,l,12,10,-11,=+3,=+3,-,
d+1 or FC+1,Sm,5,10,-5,=+6,=+6,-,
"d+1, 2 or FC+1, 2","Sm (TC), Sm (TC)","5,8",10,-6,=+5,=+5,-,
"d+1, 2, 4 or FC+1, 2, 4","Sm (TC), Sm (TC), m","5,8,10",10,-14~-12,-3~-1,-3~-1,-,
"d+1, n+4 or FC+1, n+4","Sm (TC), m","5,10",10,-11~-10,0~+1,0~+1,-,
d+2,l (TC),13,20,-12,0,=+5,-,
"d+2, 3","l, h","13,20",20,-6~-4,KND,CS,-,Tail spin
d+3,l (TC),12,16,-17,-3,-3,-,
d+3 or FC+3,l (TC),12,16,-17,-3,-3,-,
"d+3, 2","l (TC), m","12,10",16,-13~-11,Launch (JG?),Launch (JG?),-,
"d+3, 4","l (TC), h","12,18",16,-6,=+5,Launch (JG?),-,
"d+3, 4, 3","l (TC), h, m","12,18,20",16,=+2~+3s,=+5~+6s,KND,-,
d+4,l (TC),7,12,-13,-2,-2,-,
"d+4, 1","l (TC), h","7(10),10",12,0,=+6,=+11,-,
"d+4, 1, d or u (Cancel)","l (TC), (Special)",7(10),12,-13(-15),-2(-4),-2(-4),-,
"d, D/F+4",l (TC),20,24,-37,KND,YKU,-,
"d, d/f, N",,,13,,,,-,
d/b or d+1,Sm (TC),5,10,-5,=+6,=+6,-,
d/b+1+2,!,50,65,CS,CS,CS,-,
d/b+2,m?,20,24,-5~-4,KND,KND,-,"Tail spin, Homing"
d/b+2,m,20,24,-5~-4,KND,KND,-,"Tail spin, Homing"
d/b+3,l,17,20,-13,=+3s,KND,-,
d/b+3+4,m?,21,19,-17~-16,Launch (JG?),Launch (JG?),-,
d/b+4,l (TC),5,16,-9~-8,=+2~+3,=+2~+3,-,
"d/b+4, 3","l (TC), m?","5,21",16,-17~-16,Launch (JG?),Launch (JG?),-,
"d/b, qcf, n, d/b+2+3",h!,0,35,=+33~+50 (SH),=+33~+50 (SH),=+33~+50 (SH),-,
d/f+1,m,13,13,-1,=+5,=+5,-,
d/f+1+2,mm,"5,10",16,-3~-2,=+20~+21kg,=+20~+21kg,-,
d/f+1+2 (First hit only),m,5,16,-5~-4,=+7~+8,=+7~+8,-,Homing
"d/f+1, 2","m, h","13,10",13,-3,=+2,=+9,-,
"d/f+1, 2, u or D","m, h, (Special)","13,10",13,-1,=+4,=+11,-,
d/f+2,m,12,15,-7~-6,Launch (JG?)(+4a),Launch (JG?),-,
d/f+3,m,13,14,-11,=+1,=+1,-,
"d/f+3, 1","m, h","13,10",14,-8,=+3,=+3,-,
"d/f+3, 1, 2","m, h, h","13,10,6",14,-10,=+1,=+1,-,
"d/f+3, 1, 2, f+1+2","m, h, h, m","13,10,6,22",14,-14,KND,KND,-,
"d/f+3, 1, d or u (Cancel)","m, (Special)",13,14,-19,-7,-7,-,
"d/f+3, 2","m, h","13,12",14,=+1,=+2,=+12,-,
"d/f+3, 2, 1","m, h, h","13,12,6",14,-3,=+4,=+4,-,
"d/f+3, 2, 1, 4","m, h, h, l (TC)","13,12,6,12",10,-13,-2,-2,-,
"d/f+3, 2, 3","m, h, m?","13,12,21",10,-17~-16,Launch (JG?),Launch (JG?),-,
"d/f+3, 2, 4","m, h, h","13,12,22",10,-6,KND,KND,-,Tail spin
"d/f+3, 2, d or u","m, h, (Special)","13,12",14,0,=+1,=+11,-,
"d/f+3, 2, d+3","m, h, l (TC)","13,12,10",10,-14,-3,-3,-,
"d/f+3, 2, d+3, 2","m, h, l (TC), m","13,12,10,10",10,-13~-11,Launch (JG?),Launch (JG?),-,
"d/f+3, 2, d+3, 4","m, h, l (TC), h","13,12,10,18",10,-6,=+5,Launch (JG?),-,
"d/f+3, 2, d+3, 4 , 3","m, h, l (TC), h, m","13,12,10,18
,20",10,=+2~+3s,=+5~+6s,KND,-,
"d/f+3, 2, f or d/f","m, h, (Special)","13,12",14,-1,0,=+10,-,
"d/f+3, 3","m, h","13,6",10,-14,-3,-3,-,
"d/f+3, 3, 3","m, h, h","13,6",10,-14,-3,-3,-,
"d/f+3, 3, 3, 4","m, h, h, h","13,6,8,20",10,-6,KND,CS,-,Tail spin
"d/f+3, 4","m, h (TJ)","13,21",20,-4~-3,=+7~+8,=+7~+8,-,
"d/f+3, 4, 3+4","m, h (TJ), mm","13,21,8,21",20,-6~0,KND,KND,-,
"d/f+3, 4, 4","m, h (TJ), l","13,21,20",20,-13~-11,KND,YKU,-,
"d/f+3, f+4","m, h","13,20",20,-6,KND,CS,-,Tail spin
d/f+4,m,15,12,-4,=+7,=+7,-,
f+1,h,7,10,=+1,=+8,=+8,-,
f+1+2 or WS+1+2,m,24,17,-14,KND,KND,-,Power crush
f+2,h,12,13,-3,=+8,=+8,-,
f+2,h,12,13,-3,=+8,=+8,-,
"f+2, 1","h, m","12,12",13,-13~-12,-6~-5a,-6~-5a,-,
"f+2, 1, 2","h, m, m","12,12,20",13,-12~-10s,=+4~+6s (KND),KND,-,
"f+2, 1, 4","h, m, h","12,12,22",13,-3~-1,KND(KND),KND,-,Tail spin
f+3,hh,"10,20",14,=+6~+7,KND,CS,-,
f+3,hh,"10,20",14,=+6~+7 (-24s),KND,CS,-,
f+3 (Only first hit on counter),h,10,14,,,CS (12~13),-,
f+3 (Second hit ducked),h,10,14,-24s,,,-,
f+4,h,14,16,-12,-3,-1,-,
"f+4, 3","h, m","14,13",16,-14,Launch (JG?),Launch (JG?),-,
"f+4, 3, 3","h, m, m (TJ)","14,13,20",19,-14~-11,KND,KND,-,
"f+4, 4","h, h","14,17",19,=+1,=+13kg,KND,-,
"f, F+1+2",m,26,22,-5,KND,KND,-,wb!
"f, F+1+2* (Very long hold)",m,32,33,=+8~+9,KND,KND,-,wb!
"f, F+2",h,20,14,-9,KND,KND,-,
"f, F+3",m,24,15,-14,=+8,CS,-,
"f, F+4",m (TJ),20,28,-10~-6,=+9~+13s,KND,-,
"f, F+4 (Close)",m (TJ),30,28,=+11,=+9s,KND,-,
"f, F+4, Tech","m (TJ), (Special)",20,28,-17~-13,=+2~+6s,KND,-,
"f, F+4, Tech (Close)","m (TJ), (Special)",30,28,=+4,=+2s,KND,-,
"f, f, f+1+2",m (TJ),30,20,0~+1,KND,KND,-,
FC+1,Sm (TC),5,10,-5,=+6,=+6,-,
FC+2,Sm (TC),8,11,-4,=+7,=+7,-,
"FC+2, 4","Sm (TC), m","8,10",11,-10~-8,=+1~+3,=+1~+3,-,
FC+3,l (TC),12,16,-17,-3,-3,-,
FC+d/b or d+4,l (TC),10,12,-15,-4,-4,-,
FC+d/b or d+4 FC+D/F+4,l (TC),10,12,-15,-4,-4,-,
FC+d/f+4,l (TC),20,20,-37,KND,YKU,-,
in rage d+1+2,m?,55,20,-22,Throw(KND),Throw(KND),-,Rage art
in rage f+2+3,m (TJ),50,20,=+9~+10g (wl+15g),KND,KND,-,Rage art
"in rage f+2+3, d/f","m (TJ), (Special)",50,20,=+28~+29?,KND,KND,-,Rage art
Opponent Down d+3+4,l(On grounded opponent),16(立ち20),17,-17~-16,-8~-7s,-8~-7s,-,
qcb,(Special),,0,,,,-,
QCB+4,m,20,19,-15~-14,Launch (JG?),Launch (JG?),-,
qcf,(Special),,17,,,,-,
qcf+1,h,21,13,=+1~+2,=+3~+4,Launch,-,
qcf+1+2,h(Throw),15,11,,Throw(0),,-,
qcf+2,m?,25,20,-8~-7,KND,KND,-,
qcf+3,l (TC),17,19,-20~-11,0~+9s,KND,-,
qcf+3+4,h(Throw),15,11,,Throw(KND),,-,
qcf+4,m,15,14,-8,=+6a,=+6a,-,
"qcf+4, 2","m, h","15,10",14,-9,-3(Launch (JG?)),-3(Launch (JG?)),-,
"qcf+4, 2, 3","m, h, h","15,10,23",14,-10,KND,KND,-,
"qcf, 1",m,14,13,-6~-5,=+5~+6,=+5~+6,-,
SS+1,m,15,14,-10~-9,=+3~+4,=+3~+4,-,
SS+1+2,m,22,19,-11,KND,KND,-,
"SS+1, 2","m, m","15,15",14,-6~-4,0~+2,0~+2,-,
"SS+1, B","m, (Special)",15,14,=+10~+11,=+23~+24g,=+23~+24g,-,
"SS+1, F","m, (Special)",15,14,=+10~+11,=+24~+25g,=+24~+25g,-,
SS+2,m,15,13,-14~-13,Launch (JG?),Launch (JG?),-,
SS+3,h,14,14,-16,-5,-5,-,
SS+4,l (TC),17,20,-15,=+6s,YKU,-,
u+3,m (TJ),20,14,-15,KND,KND,-,
u+4,m (TJ),21,23,-6~-1,=+3~+8s,KND,-,
u/b or u+1,m (TJ),12,18,-8,=+3,=+3,-,
u/b or u+2,h,17,15,-12~-11,=+9~+10g,=+9~+10g,-,
u/b+3,m (TJ),15,14,-15,-4,-4,-,
u/b+4,m (TJ),21,23,-9~-4,=+3~+8s,KND,-,
u/f+1,m (TJ),20,26,-5,KND,KND,-,
u/f+2,m,10,18,-10,=+1,=+1,-,
"u/f+2, 1","m, m","10,10",18,-13,BU,BU,-,
u/f+3,m (TJ),20,14,-10,KND,KND,-,
"u/f+3+4 or f, f, f+3",m (TJ),"20(,18)",23,-23,Throw(KND),Throw(KND),-,
"u/f+3+4 or f, f, f+3 (Crouching or far)",m (TJ),20,24,-22~-16,KND,KND,-,
u/f+4,h (TJ),23,18,-9,-1,-1,-,
U/F+4,m (TJ),21,23,-6~-1,=+3~+8s,KND,-,
"u/f+4, 3","h (TJ), l","23,10",23,-19,-8,-8,-,
"u/f+4, 3, 4","h (TJ), l, h","23,10,14",23,-6,=+5,=+,-,
"u/f+4, 3, 4, d or u (Cancel)","h (TJ), l, (Special)","23,10",23,-5,=+6,=+6,-,
"u/f, n, D+3","(Special), l (TC)",15,43,-17,-6,-6,-,
"u/f, n, D+3, 2","l (TC), m","15,10",43,-13~-11,Launch (JG?),Launch (JG?),-,
"u/f, n, D+3, 4","l (TC), h","15,18",43,-6,=+5,Launch (JG?),-,
"u/f, n, D+3, 4, 3","l (TC), h, m","15,18,20",43,=+2~+3s,=+5~+6s,KND,-,
WS+1,m,17,13,-6~-5,=+5~+6,=+5~+6,-,
WS+1,m,14,13,-6~-5,=+5~+6,=+5~+6,-,
"WS+1, 1+2","m, hh","17,3,15",13,-7~-6,KND,KND,-,
"WS+1, 4","m, m","14,20",13,-3~-2s,KND,KND,-,
WS+2,m,15,15,-13~-12,Launch (JG?),Launch (JG?),-,
WS+3,m,15,13,-13,=+2,=+2,-,
WS+3,m,15,18,-13,=+2,=+2,-,
WS+3+4,h,25,16,-16,KND,KND,-,
WS+4,m,15,11,-4~-3,=+7~+8,=+7~+8,-,
"WS+4, 3","m, h","15,24",11,-6,KND,CS,-,Tail spin
WS+b+1,m,13,14,-5~-4,=+6~+7,uKZD,-,
