Command,Hit level,Damage,Active frame,Block frame,Hit frame,Counter hit frame,GIF,Notes
"b+3, B",m,27,23,-11~-8,KND,KND,-,"Homing, Tail spin"
b+4,m,13,14,-7,=+3,=+3,-,Homing
"b+4, 3","m, h","13,21",14,-6~-4,KND,KND,-,Tail spin
"b+4, B",m,13,14,-4,=+6,=+6,-,
BT 1,h,7,10,=+1,=+8,=+8,-,
BT 1+2,h,20,15,-1,=+16kg,=+16kg,-,Tail spin
BT 2,m,17,15,-14~-10,-1~+3,CS,-,
"BT 2, 2","m, m","17,20",15,-17~-15,KND,KND,-,
BT 3,h,25,10,-8,KND,KND,-,
BT 4,h,14,11,-9,=+2,=+2,-,
"BT 4, 3","h, m","14,24",11,-12,KND,KND,-,
BT d+4 or BT FC+4,l,16,23,-15~-12,KND,KND,-,
BT d/b or d or d/f+1 or 2,Sm,10,10,-2,=+9,=+9,-,
BT d/b or d or d/f+3,l,12,10,-11,=+3,=+3,-,
BT etc,,,17,,,,-,
BT u+4,m (TJ),20,17,-12,Launch (JG?),Launch (JG?),-,
BT u/b or u or u/f+3,m (TJ),25,17,-12,KND,KND,-,
"BT u/b or u or u/f+3, 4","m (TJ), m (TJ)","25,23",17,-18~-16,Launch (JG?),Launch (JG?),-,
BT u/b+4,m (TJ),18,17,-12,-1,-1,-,
BT u/f+4,m (TJ),21,17,-12,Launch (JG?),Launch (JG?),-,
d+1,l (TC),15,21,-13~-12,=+1~+2s,=+1~+2s,-,
d+1+2 (to DSS),(DSS),,1,,,,-,
"d+1, 3","l (TC), h","15,21",21,-9~-8,KND,KND,-,Tail spin
d+2,Sm (TC),8,11,-4,=+7,=+7,-,
d+2 or FC+2,Sm (TC),8,11,-4,=+7,=+7,-,
"d+2, 3","Sm (TC), m","8,21",11,-15~-12,Launch (JG?),Launch (JG?),-,
d+3,l,8,16,-14,-3,-3,-,
D+3,l,8,16,-14,-3,-3,-,
d+3+4,l (TC),7,12,-13,-2,-2,-,
"d+3+4, 3","l (TC), m (TJ)","7,23",19,-18~-16,Launch (JG?),Launch (JG?),-,
"d+3, 3","l, h","8,17",16,-7,KND,CS,-,
d+4,l,7,15,-11,0,0,-,
"d+4, 3","l, h","7,12",12,-12,0(SH),=+5,-,
d/b+1,Sm (TC),5,10,-5,=+6,=+6,-,
d/b+1+2,!,90,78,KND,KND,KND,-,
"d/b+1+2, u, u (Cancel)",(DSS),,78,,,,-,
d/b+2,m,15,14,-4,=+7,=+7,-,
"d/b+2, 4","m, m (TJ)","15,25",15,-17~-10,KND,KND,-,
"d/b+2, 4, D","m, m (TJ)","15,25",15,-6~+1,KND,KND,-,
d/b+3,l,20,17,-12~-10,=+4~+6s,KND,-,
d/b+3+4,"m (TJ), m","25,25",19,-9~-2,Launch,Launch,-,
D/B+3+4,m (TJ),25,19,-27~-23,Launch,Launch,-,
d/b+3+4 (First hit whiffs or blocked),m,25,51,-9~-2,=+2~+9s,=+2~+9s,-,
d/b+3+4 (Second hit miss),m (TJ),25,19,-41~-37,Launch,Launch,-,
d/b+4,l (TC),20,26,-37,KND,KND,-,Homing
"d/b+4, 4","l (TC), m (TJ)","20,27",26,-9~-7,KND,KND,-,
d/f+1,m,10,13,-1,=+5,=+5,-,
d/f+2,m,12,15,-7~-6,Launch (JG?)(+4a),Launch (JG?),-,15f punish
d/f+3,m,18,17,-12,-1,-1,-,
d/f+3,m,18,17,-12,-1,-1,-,
d/f+3+4,l (TC),12,18,-15,=+4s,KND,-,
"d/f+3, 3","m, l","18,8",17,-14,-3,-3,-,
"d/f+3, 3, 3","m, l, h","18,8,14",17,-8,=+1,=+1,-,
"d/f+3, 3, 4","m, l, m (TJ)","18,8,23",19,-17~-16,KND,KND,-,
d/f+4,m,15,13,-8,=+3,=+3,-,
"d/f+4, 3","m, m (TJ)","15,23",14,-18~-16,Launch (JG?),Launch (JG?),-,
"DSS , ,",,,20,,,,-,
DSS 1,h,14,12,-11~-10,CS,CS,-,
DSS 1+2,h,30,19,-10,KND,KND,-,Power crush
DSS 1+3,h(Throw),"35(8,27)",12,,Throw(KND),,-,
"DSS 1, 4","h, h (TJ)","14,30",14,=+7g,KND,KND,-,
"DSS 1, f+1","h, m","14,25",12,-14~-12,KND,KND,-,
DSS 2,h,20,14,-4~-3,KND,KND,-,
DSS 2+4,h(Throw),"35(8,9,18)",12,,Throw(KND),,-,
DSS 3,h,28,19,-3~-1,KND,KND,-,"Homing, Tail spin"
DSS 4,l,19,24,-14~-13,=+5~+6s,KND,-,
DSS f+1,m,25,17,-14~-12,KND,KND,-,
DSS f+2,h(DSS),10,12,0,=+6,=+6,-,
DSS f+3,m,30(45),20,-17~-14,KND,KND (KND),-,"Power crush, wall bounce"
DSS f+4,h (TJ),40,20,=+7g,KND,KND,-,
f+1,h,9,10,=+1,=+8,=+8,-,
f+1+2,m,20,20,=+3s,=+8s,KND,-,
"f+1+2, D",m,20,20,=+3s,=+8s,KND,-,
f+1+4,m,25,23,-14~-13,KND,KND,-,
f+2,h,10,12,0,=+6,=+6,-,
f+2,h,13,12,0,=+7,=+7,-,
f+2~1,m,32,19,=+5~+6,KND,KND,-,
f+3,h,16,15,-13,-2,SH,-,
f+3+4,m (TJ),20,25,-2~-1,=+7~+8s,KND,-,
f+4,h,16,13,-9,=+7,Launch (JG?),-,
"f, F+2",m,12,14,-7~-5,=+7~+9,=+7~+9,-,
"f, F+2, 1","m, h","12,12",14,-4~-3,=+2~+3,=+2~+3,-,
"f, F+2, 1, 3","m, h, m","12,12,23",14,-13~-11,KND,KND,-,
"f, F+2, 3","m, h","12,20",14,-17,KND,KND,-,
"f, F+3",m,30,20,-17~-14,KND,KND,-,"Power crush, Wall bounce"
"f, F+3 (Close)",m,45,20,-17,KND,KND,-,"Power crush, Wall bounce"
"f, F+4",m,10,16,-13~-12,-2~-1,-2~-1,-,
"f, F+4, 3","m, m","10,10",16,-14,BU,BU,-,
"f, f, f+3",m (TJ),30,20,=+7~+15g,KND,KND,-,
"f, f, f+3, 1+2(When hit )","m (TJ), (Special)",30,20,,KND,KND,-,
FC+1,Sm (TC),5,10,-5,=+6,=+6,-,
FC+2,Sm (TC),8,11,-4,=+7,=+7,-,
FC+3,l,12,16,-14,-3,-3,-,
FC+3,l (TC),12,16,-14,-3,-3,-,
"FC+3, 4","l, m (TJ)","12,23",19,-18~-16,Launch (JG?),Launch (JG?),-,
"FC+4, 3","l (TC), m (TJ)","7(10),23",19,-18~-16,Launch (JG?),Launch (JG?),-,
FC+d/b or d+4,l (TC),7,12,-15,-4,-4,-,
FC+d/f+4,l (TC),10,12,-15,-4,-4,-,
"FC+d/f, d, D/F+3",l (TC),22,16,-23~-19,KND,KND,-,
FC+U+4,m (TJ),28,14,-31~-28 (20a),KND,KND,-,
"FC+U+4, d",m (TJ),28,14,-31~-28 (20a),KND,KND,-,
FC+u/b or u or U/F+3+4,mm (TJ),"30,20",46,-4~-2,KND,KND,-,
FC+u/b or u or U/F+3+4 (First hit only),m (TJ),30,46,-13~-10,KND,KND,-,
FC+U/B+4,m (TJ),25,14,-31~-28 (20a),-10~-8,-10~-8,-,
"FC+U/B+4, d",m (TJ),25,14,-31~-28 (20a),-10~-8,-10~-8,-,
FC+U/F+4,m (TJ),30,14,-21~-18 (10a),KND,KND,-,
"FC+U/F+4, d",m (TJ),30,14,-21~-18 (10a),KND,KND,-,
Grounded face up D+1+2+3+4,(Special),,14,,,,-,
in rage 1+2,m,55,20,-26,KND,KND,-,Rage art
"in rage d/b+4, 3+4","l, h","20,32",24,-9,KND,KND,-,"Rage drive, Homing"
qcf+1,h,5,12,-3,=+3,=+3,-,
"QCF+1, 2","h, h","4,4",12,-3~-2,=+3~+4,=+3~+4,-,
"QCF+1, 2, 1","h, h, h","4,4,4",12,-3~-2,=+3~+4,=+3~+4,-,
"QCF+1, 2, 1, 2","h, h, h, m","4,4,4,12",12,-16~-15,Launch (JG?),Launch (JG?),-,
SS+1,h,7,10,=+1,=+8,=+8,-,
SS+2,"m, (DSS)",5,17,-5,=+5,=+5,-,
"SS+2, 1","m, h, (DSS)","5,6",17,-5~-4,=+5~+6,=+5~+6,-,
"SS+2, 1, 2","m, h, m, (DSS)","5,6,7",17,-6~-5,=+5~+6,=+5~+6,-,
"SS+2, 1, 2, 1","m, h, m, m","5,6,7,25",17,-20~-19,KND,KND,-,
SS+3,h,12,12,-9,=+2,=+2,-,
SS+3+4,mh (TJ),"14,26",15,-12~-9,KND,KND,-,Tail spin
SS+3+4 (Second hit miss),m,9,15,-21,-10,-10,-,
SS+4,h,14,11,-9,=+7,Launch (JG?),-,
TFS-success 1,h,12,29,,=+6~+7b,=+6~+7b,-,
TFS-success 2,h,12,22,,=+27g(KND),=+27g(KND),-,
TFS-success 3,m,22,25,,KND(KND),KND(KND),-,
TFS-success 4,l,15,23,,KND,=+19s,-,
"TFS-whiff , ,",,,20,,,,-,
TFS-whiff 1,h,14,12,-11~-10,CS,CS,-,
TFS-whiff 1+2,h,30,19,-10,KND,KND,-,Power crush
"TFS-whiff 1, 4","h, h (TJ)","14,30",14,=+7g,KND,KND,-,
"TFS-whiff 1, f+1","h, m","14,25",12,-14~-12,KND,KND,-,
TFS-whiff 2,m,28,16,-20~-19,Launch (JG?),Launch (JG?),-,
TFS-whiff 3,h,28,19,-3~-1,KND,KND,-,"Homing, Tail spin"
TFS-whiff 4,l,19,24,-14~-13,=+5~+6s,KND,-,
TFS-whiff f+1,m,25,17,-14~-12,KND,KND,-,
TFS-whiff f+3,m,30(45),20,-17~-14,KND,KND (KND),-,"Power crush, Wall bounce"
TFS-whiff f+4,h (TJ),40,20,=+7g,KND,KND,-,
U+2,m (TJ),18,42,-23~-21,-12~-10s,-12~-10s,-,
u+4,m (TJ),12,15,-133~-11,KND,Launch (JG?),-,
U+4 or FC+u+4,m (TJ),18,18,-17~-7,Launch (JG?),Launch (JG?),-,
u/b or u or u/f+2(j),h,17,15,-12~-11,=+9~+10g,=+9~+10g,-,
u/b or u or u/f+3,m (TJ),25,21,-17,KND,KND,-,
u/b or u or U/F+3,(Special) (TJ),,0,,,,-,
"u/b or u or u/f+3, 4","m (TJ), m (TJ)","25,23",18,-18~-16,Launch (JG?),Launch (JG?),-,
"u/b or u or U/F+3, 4","(Special), m",20,10,-9~-8,Launch (JG?),Launch (JG?),-,
"u/b or u or U/F+4, 3","m (TJ), m (TJ)","22,22",18,-18~-15,Launch (JG?),Launch (JG?),-,
"u/b or u+1 or 1*, u/f+2",m (TJ),12,18,-8,=+3,=+3,-,
u/b or U/F+2,m (TJ),18,42,-23~-21,-12~-10s,-12~-10s,-,
u/b+4,m (TJ),10,15,-20~-18,-8~-6,-8~-6,-,
U/B+4 or FC+u/b+4,m (TJ),15,18,-17~-7,-6~+4,-6~+4,-,
u/f+1,h,10,12,-5,=+6,=+6,-,
"u/f+1 or d/b+1+2, 1 or 1+2+3+4, 1",h,10,12,-5,=+6,=+6,-,
"u/f+1, 3","h, l","10,10",12,-13,-1,-1,-,
u/f+3+4,l (TJ),27,29,-24,=+5,=+5,-,
u/f+4,m (TJ),14,15,-13~-11,Launch (JG?),Launch (JG?),-,
U/F+4 or FC+u/f+4,m (TJ),23,18,-17~-7,Launch (JG?),Launch (JG?),-,
"u/f, n+4",m (TJ),25,19,-15~-12 (-13),Launch (JG?),Launch (JG?),-,
WS+1,m,13,13,-7~-6,-1~0,=+4~+5,-,
WS+1+2,m,12,10,-4~-3,=+7~+8,=+7~+8,-,
"WS+1, 2","m, h","13,25",13,-9,KND,KND,-,13f WS punish
"WS+1, 2, b, f","m, h, (DSS)","13,25",13,0,KND,KND,-,
"WS+1, b, f","m, (DSS)",13,13,-5~-4,=+1~+2,=+6~+7,-,
WS+2,m,20,15,-18~-17,Launch(JG?),Launch(JG?),-,15f WS punish
WS+3,"h, (TFS)",16,16,=+1,=+5,=+5,-,
"WS+3, b, f","h, (TFS)",16,16,=+13g,=+17,=+17,-,
WS+4,m,14(12),11,-4~-3,=+7~+8,=+7~+8,-,11f WS punish
"WS+4, 3","m, m (TJ)","12,23",17,-18~-16,Launch (JG?),Launch (JG?),-,
"WS+4, b, f","m, (TFS)",14,11,=+6,=+17g,=+17,-,
